Date,D_ANDO,D_IMHA,D_SUDK,D_YENJ,D_GNWE,D_GMBH,D_YEOC,D_HAPC,D_NAMG,D_MIRY
2017-05-22,27.52,12.63,0.73,0.98,1.28,1.79,0.5,18.02,11.79,2.8
2017-05-23,27.51,12.89,0.73,0.98,1.28,1.79,0.5,18.02,11.95,2.8
2017-05-24,27.51,12.88,0.73,0.98,1.27,1.8,0.5,16.11,16.06,2.8
2017-05-25,27.51,12.87,0.73,0.98,1.28,1.8,0.48,16.11,16.29,2.82
2017-05-26,27.51,12.9,0.72,0.98,1.27,1.81,0.51,16.08,16.26,2.82
2017-05-27,27.49,12.89,0.72,0.97,1.26,1.81,0.51,16.1,16.27,2.84
2017-05-28,27.52,12.88,0.72,0.97,1.26,1.82,0.51,16.11,16.15,2.9
2017-05-29,27.62,12.88,0.52,0.97,1.26,1.82,0.5,16.1,16.17,2.87
2017-05-30,27.5,12.88,0.39,0.97,1.27,1.8,0.5,16.12,16.27,2.82
2017-05-31,27.52,12.85,0.62,0.98,1.28,1.65,0.5,16.11,16.29,2.79
2017-06-01,36.42,19.28,0.64,0.97,1.28,1.34,0.5,21.21,26.59,3.35
2017-06-02,36.38,19.25,0.64,0.98,1.27,1.11,0.48,21.21,26.58,3.63
2017-06-03,36.4,19.26,0.65,0.98,1.27,1.05,0.5,21.21,26.45,3.65
2017-06-04,36.42,19.28,0.65,0.98,1.27,1.06,0.5,21.2,26.39,3.64
2017-06-05,35.81,19.26,0.65,0.98,1.25,1.07,0.49,22.41,25.62,3.63
2017-06-06,35.81,19.34,0.64,0.98,1.29,1.06,0.49,22.43,25.44,3.63
2017-06-07,35.81,19.77,0.64,0.99,1.28,1.06,0.48,22.42,25.6,3.46
2017-06-08,35.8,19.2,0.65,0.99,1.27,1.06,0.49,22.41,25.73,3.62
2017-06-09,35.82,19.27,0.65,0.99,1.29,1.07,0.5,22.4,25.71,3.64
2017-06-10,35.81,19.25,0.64,0.99,1.3,1.07,0.48,22.42,25.61,3.65
2017-06-11,35.83,19.23,0.65,0.99,1.29,1.07,0.49,22.42,25.58,3.66
2017-06-12,35.78,19.25,0.65,0.99,1.29,1.07,0.48,22.44,25.53,3.66
2017-06-13,35.9,19.25,0.65,0.99,1.28,1.07,0.49,22.41,25.68,3.68
2017-06-14,35.81,19.23,0.66,1,1.28,1.05,0.49,22.42,25.74,3.67
2017-06-15,39.41,19.23,0.66,0.97,1.27,1.08,0.49,10.02,34.1,3.59
2017-06-16,39.39,19.25,0.66,0.96,1.27,1.08,0.5,10.24,34.03,3.66
2017-06-17,39.42,19.23,0.47,0.96,1.26,1.08,0.49,10.32,33.94,3.67
2017-06-18,32.79,19.2,0.26,0.95,1.26,1.08,0.5,25.4,25.63,3.67
2017-06-19,32.8,19.25,0.53,0.95,1.28,1.08,0.49,25.39,25.75,3.67
2017-06-20,32.79,18.69,0.69,0.96,1.28,1.08,0.49,25.39,26.85,3.67
2017-06-21,32.8,19.22,0.69,0.9,1.27,1.08,0.49,25.39,25.73,3.65
2017-06-22,32.79,19.2,0.68,0.98,1.27,1.08,0.49,25.41,25.72,3.65
2017-06-23,32.82,19.21,0.67,0.96,1.27,1.02,0.49,25.4,25.72,3.55
2017-06-24,32.8,19.21,0.65,0.96,1.27,1.04,0.49,25.43,25.69,3.37
2017-06-25,32.83,19.21,0.65,0.96,1.26,1.05,0.49,23.91,25.48,3.56
2017-06-26,32.82,19.21,0.67,0.94,1.27,1.05,0.49,20.71,25.47,3.61
2017-06-27,32.82,19.24,0.68,0.98,1.28,1.06,0.49,23.91,25.66,3.66
2017-06-28,32.79,19.21,0.67,0.98,1.27,1.06,0.44,25.45,25.76,3.66
2017-06-29,32.82,19.22,0.66,0.96,1.27,1.06,0.48,25.4,25.66,3.66
2017-06-30,32.8,19.2,0.72,0.98,1.26,1.07,0.48,25.4,25.71,3.18
2017-07-01,29.81,13.19,0.77,0.98,1.26,1.01,0.48,24.5,29.32,2.61
